"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"BZN|DE-LU","04.04.2022 17:15 - 04.04.2022 17:30 (CET/CEST)","4425","7195","n/e","4557","5045","293","n/e","n/e","21","386","2250","969","53","n/e","3941","294","118","6149","837","3611","42527"
"BZN|DE-LU","04.04.2022 17:30 - 04.04.2022 17:45 (CET/CEST)","4416","7271","n/e","4476","5054","293","n/e","n/e","21","516","1101","982","57","n/e","4000","294","118","5023","847","3621","42664"
"BZN|DE-LU","04.04.2022 17:45 - 04.04.2022 18:00 (CET/CEST)","4405","7328","n/e","4499","5042","293","n/e","n/e","21","758","314","985","66","n/e","4043","294","118","3976","850","3559","42967"
"BZN|DE-LU","04.04.2022 18:00 - 04.04.2022 18:15 (CET/CEST)","4415","7420","n/e","4510","5035","293","n/e","n/e","21","344","1042","974","43","n/e","4054","295","118","3129","849","3575","42786"
"BZN|DE-LU","04.04.2022 18:15 - 04.04.2022 18:30 (CET/CEST)","4410","7473","n/e","4534","5036","293","n/e","n/e","21","695","552","969","111","n/e","4067","294","118","2302","847","3587","42824"
"BZN|DE-LU","04.04.2022 18:30 - 04.04.2022 18:45 (CET/CEST)","4418","7444","n/e","4634","5039","293","n/e","n/e","21","875","143","968","74","n/e","4073","294","118","1599","846","3500","42795"
"BZN|DE-LU","04.04.2022 18:45 - 04.04.2022 19:00 (CET/CEST)","4419","7444","n/e","4754","5091","293","n/e","n/e","21","1206","47","970","75","n/e","4085","294","118","1055","846","3470","42644"
"BZN|DE-LU","04.04.2022 19:00 - 04.04.2022 19:15 (CET/CEST)","4421","7241","n/e","4727","5272","293","n/e","n/e","21","1101","72","977","103","n/e","4090","294","118","625","849","3420","42718"
"BZN|DE-LU","04.04.2022 19:15 - 04.04.2022 19:30 (CET/CEST)","4423","7275","n/e","4716","5279","293","n/e","n/e","21","1655","33","989","164","n/e","4094","294","118","310","852","3423","42566"
"BZN|DE-LU","04.04.2022 19:30 - 04.04.2022 19:45 (CET/CEST)","4430","7259","n/e","4728","5292","293","n/e","n/e","21","2123","14","984","67","n/e","4093","294","118","101","848","3395","42299"
"BZN|DE-LU","04.04.2022 19:45 - 04.04.2022 20:00 (CET/CEST)","4425","7251","n/e","4728","5274","293","n/e","n/e","21","2564","13","976","99","n/e","4091","294","118","16","845","3365","42056"
"BZN|DE-LU","04.04.2022 20:00 - 04.04.2022 20:15 (CET/CEST)","4427","7080","n/e","4647","5088","293","n/e","n/e","21","2168","10","976","64","n/e","4089","294","118","2","849","3627","42079"
"BZN|DE-LU","04.04.2022 20:15 - 04.04.2022 20:30 (CET/CEST)","4423","6985","n/e","4645","5010","293","n/e","n/e","21","1593","65","984","41","n/e","4082","295","118","0","857","3613","42270"
"BZN|DE-LU","04.04.2022 20:30 - 04.04.2022 20:45 (CET/CEST)","4426","6972","n/e","4616","4943","293","n/e","n/e","21","1065","147","984","56","n/e","4088","295","118","0","856","3574","41815"
"BZN|DE-LU","04.04.2022 20:45 - 04.04.2022 21:00 (CET/CEST)","4415","6955","n/e","4642","4922","293","n/e","n/e","21","1008","128","982","54","n/e","4085","295","118","0","859","3528","41314"
"BZN|DE-LU","04.04.2022 21:00 - 04.04.2022 21:15 (CET/CEST)","4418","7026","n/e","4266","4933","293","n/e","n/e","21","873","58","985","47","n/e","4086","295","118","0","852","3958","40395"
"BZN|DE-LU","04.04.2022 21:15 - 04.04.2022 21:30 (CET/CEST)","4407","6987","n/e","4146","4868","293","n/e","n/e","21","757","38","977","38","n/e","4089","295","118","0","855","3884","39661"
"BZN|DE-LU","04.04.2022 21:30 - 04.04.2022 21:45 (CET/CEST)","4417","6959","n/e","4179","4819","293","n/e","n/e","21","746","787","984","32","n/e","4088","294","118","0","858","3800","39216"
"BZN|DE-LU","04.04.2022 21:45 - 04.04.2022 22:00 (CET/CEST)","4406","6966","n/e","4174","4793","293","n/e","n/e","21","398","1518","985","26","n/e","4088","294","118","0","856","3670","39116"
"BZN|DE-LU","04.04.2022 22:00 - 04.04.2022 22:15 (CET/CEST)","4407","6995","n/e","4424","4812","293","n/e","n/e","21","1427","1005","985","100","n/e","4086","295","118","0","854","3514","37128"
"BZN|DE-LU","04.04.2022 22:15 - 04.04.2022 22:30 (CET/CEST)","4408","6925","n/e","4431","4585","293","n/e","n/e","21","994","1244","990","39","n/e","4083","295","118","0","855","3464","37313"
"BZN|DE-LU","04.04.2022 22:30 - 04.04.2022 22:45 (CET/CEST)","4404","6958","n/e","4442","4493","293","n/e","n/e","21","376","1482","994","33","n/e","4083","295","118","0","854","3282","37326"
"BZN|DE-LU","04.04.2022 22:45 - 04.04.2022 23:00 (CET/CEST)","4403","6951","n/e","4408","4428","293","n/e","n/e","21","181","1498","995","40","n/e","4088","291","116","0","849","3103","36836"
"BZN|DE-LU","04.04.2022 23:00 - 04.04.2022 23:15 (CET/CEST)","4398","6958","n/e","4040","4123","293","n/e","n/e","21","142","2025","998","34","n/e","4089","283","113","0","864","3328","36233"
"BZN|DE-LU","04.04.2022 23:15 - 04.04.2022 23:30 (CET/CEST)","4389","6865","n/e","4042","4091","293","n/e","n/e","21","110","2460","991","42","n/e","4087","284","113","0","869","3285","36250"
"BZN|DE-LU","04.04.2022 23:30 - 04.04.2022 23:45 (CET/CEST)","4395","6853","n/e","4069","4080","293","n/e","n/e","21","70","3055","1001","60","n/e","4084","284","113","0","865","3232","35747"
"BZN|DE-LU","04.04.2022 23:45 - 05.04.2022 00:00 (CET/CEST)","4396","6876","n/e","4078","4057","293","n/e","n/e","21","65","3453","999","92","n/e","4083","283","112","0","869","3211","35131"
